names,lat,lon,years,sea_level_change
AARHUS,56.15,10.22,2020,72
AARHUS,56.15,10.22,2030,126
AARHUS,56.15,10.22,2040,193
AARHUS,56.15,10.22,2050,270
AARHUS,56.15,10.22,2060,346
AARHUS,56.15,10.22,2070,438
AARHUS,56.15,10.22,2080,541
AARHUS,56.15,10.22,2090,658
AARHUS,56.15,10.22,2100,790
AARHUS,56.15,10.22,2110,852
AARHUS,56.15,10.22,2120,962
AARHUS,56.15,10.22,2130,1070
AARHUS,56.15,10.22,2140,1176
AARHUS,56.15,10.22,2150,1276
ABASHIRI,44.02,144.29,2020,49
ABASHIRI,44.02,144.29,2030,95
ABASHIRI,44.02,144.29,2040,152
ABASHIRI,44.02,144.29,2050,226
ABASHIRI,44.02,144.29,2060,303
ABASHIRI,44.02,144.29,2070,402
ABASHIRI,44.02,144.29,2080,512
ABASHIRI,44.02,144.29,2090,648
ABASHIRI,44.02,144.29,2100,794
ABASHIRI,44.02,144.29,2110,891
ABASHIRI,44.02,144.29,2120,1018
ABASHIRI,44.02,144.29,2130,1142
ABASHIRI,44.02,144.29,2140,1261
ABASHIRI,44.02,144.29,2150,1374
ABERDEEN_I,57.14,-2.08,2020,72
ABERDEEN_I,57.14,-2.08,2030,123
ABERDEEN_I,57.14,-2.08,2040,184
ABERDEEN_I,57.14,-2.08,2050,256
ABERDEEN_I,57.14,-2.08,2060,328
ABERDEEN_I,57.14,-2.08,2070,414
ABERDEEN_I,57.14,-2.08,2080,510
ABERDEEN_I,57.14,-2.08,2090,618
ABERDEEN_I,57.14,-2.08,2100,747
ABERDEEN_I,57.14,-2.08,2110,794
ABERDEEN_I,57.14,-2.08,2120,897
ABERDEEN_I,57.14,-2.08,2130,996
ABERDEEN_I,57.14,-2.08,2140,1092
ABERDEEN_I,57.14,-2.08,2150,1186
ABERDEEN_II,57.15,-2.08,2020,72
ABERDEEN_II,57.15,-2.08,2030,123
ABERDEEN_II,57.15,-2.08,2040,184
ABERDEEN_II,57.15,-2.08,2050,256
ABERDEEN_II,57.15,-2.08,2060,328
ABERDEEN_II,57.15,-2.08,2070,414
ABERDEEN_II,57.15,-2.08,2080,509
ABERDEEN_II,57.15,-2.08,2090,618
ABERDEEN_II,57.15,-2.08,2100,746
ABERDEEN_II,57.15,-2.08,2110,794
ABERDEEN_II,57.15,-2.08,2120,896
ABERDEEN_II,57.15,-2.08,2130,996
ABERDEEN_II,57.15,-2.08,2140,1092
ABERDEEN_II,57.15,-2.08,2150,1185
ABURATSU,31.58,131.41,2020,58
ABURATSU,31.58,131.41,2030,116
ABURATSU,31.58,131.41,2040,183
ABURATSU,31.58,131.41,2050,272
ABURATSU,31.58,131.41,2060,360
ABURATSU,31.58,131.41,2070,467
ABURATSU,31.58,131.41,2080,588
ABURATSU,31.58,131.41,2090,730
ABURATSU,31.58,131.41,2100,888
ABURATSU,31.58,131.41,2110,998
ABURATSU,31.58,131.41,2120,1138
ABURATSU,31.58,131.41,2130,1274
ABURATSU,31.58,131.41,2140,1402
ABURATSU,31.58,131.41,2150,1526
ABURATSUBO,35.16,139.62,2020,58
ABURATSUBO,35.16,139.62,2030,122
ABURATSUBO,35.16,139.62,2040,192
ABURATSUBO,35.16,139.62,2050,276
ABURATSUBO,35.16,139.62,2060,364
ABURATSUBO,35.16,139.62,2070,476
ABURATSUBO,35.16,139.62,2080,600
ABURATSUBO,35.16,139.62,2090,742
ABURATSUBO,35.16,139.62,2100,898
ABURATSUBO,35.16,139.62,2110,1010
ABURATSUBO,35.16,139.62,2120,1151
ABURATSUBO,35.16,139.62,2130,1287
ABURATSUBO,35.16,139.62,2140,1416
ABURATSUBO,35.16,139.62,2150,1541
ACAJUTLA,13.57,-89.83,2020,53
ACAJUTLA,13.57,-89.83,2030,100
ACAJUTLA,13.57,-89.83,2040,162
ACAJUTLA,13.57,-89.83,2050,240
ACAJUTLA,13.57,-89.83,2060,318
ACAJUTLA,13.57,-89.83,2070,414
